frame.number	frame.protocols	udp.srcport	udp.dstport	stun.type	stun.type.method	stun.type.class	stun.channel	stun.length
189	eth:ethertype:ip:udp:rtp	49153	3478					
190	eth:ethertype:ip:udp:rtp	49153	3478					
191	eth:ethertype:ip:udp:rtp	49153	3478					
192	eth:ethertype:ip:udp:rtp	49153	3478					
193	eth:ethertype:ip:udp:rtp	49153	3478					
194	eth:ethertype:ip:udp:rtp	49153	3478					
195	eth:ethertype:ip:udp:stun	48854	8801	0x0001	0x0001	0x0000		136
196	eth:ethertype:ip:udp:data	48854	8801					
197	eth:ethertype:ip:udp:stun	8801	48854	0x0101	0x0001	0x0010		44
198	eth:ethertype:ip:udp:dtls	48854	8801					
199	eth:ethertype:ipv6:udp:stun	3478	48094	0x0109	0x0009	0x0010		32
200	eth:ethertype:ipv6:udp:stun:data	3478	48094				0x4001	48
201	eth:ethertype:ipv6:udp:stun	3478	48094	0x0101	0x0001	0x0010		104
