goos: darwin
goarch: arm64
pkg: github.com/yaklang/yaklang/common/bin-parser
BenchmarkCurrentCorpusPreparedApplicationFields-8     	     529	   1350512 ns/op	   1.05 MB/s	      1421 input-B/op	        11.00 messages/op	      8145 messages/s	         8.000 workers	 2031238 B/op	   32307 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-8     	     535	   1348017 ns/op	   1.05 MB/s	      1421 input-B/op	        11.00 messages/op	      8160 messages/s	         8.000 workers	 2031387 B/op	   32308 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-8     	     535	   1344864 ns/op	   1.06 MB/s	      1421 input-B/op	        11.00 messages/op	      8179 messages/s	         8.000 workers	 2031321 B/op	   32308 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-10    	     543	   1314910 ns/op	   1.08 MB/s	      1421 input-B/op	        11.00 messages/op	      8366 messages/s	        10.00 workers	 2031571 B/op	   32312 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-10    	     544	   1324043 ns/op	   1.07 MB/s	      1421 input-B/op	        11.00 messages/op	      8308 messages/s	        10.00 workers	 2031543 B/op	   32312 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-10    	     541	   1323682 ns/op	   1.07 MB/s	      1421 input-B/op	        11.00 messages/op	      8310 messages/s	        10.00 workers	 2031463 B/op	   32311 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON         	     190	   3792007 ns/op	   0.37 MB/s	      1421 input-B/op	        11.00 messages/op	      2901 messages/s	         1.000 workers	 2504344 B/op	   45079 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON         	     186	   3825566 ns/op	   0.37 MB/s	      1421 input-B/op	        11.00 messages/op	      2875 messages/s	         1.000 workers	 2504395 B/op	   45080 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON         	     187	   3791754 ns/op	   0.37 MB/s	      1421 input-B/op	        11.00 messages/op	      2901 messages/s	         1.000 workers	 2504517 B/op	   45080 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-4       	     324	   2194322 ns/op	   0.65 MB/s	      1421 input-B/op	        11.00 messages/op	      5013 messages/s	         4.000 workers	 2510959 B/op	   45088 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-4       	     322	   2213190 ns/op	   0.64 MB/s	      1421 input-B/op	        11.00 messages/op	      4970 messages/s	         4.000 workers	 2507027 B/op	   45087 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-4       	     324	   2237246 ns/op	   0.64 MB/s	      1421 input-B/op	        11.00 messages/op	      4917 messages/s	         4.000 workers	 2509321 B/op	   45088 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-8       	     338	   2056814 ns/op	   0.69 MB/s	      1421 input-B/op	        11.00 messages/op	      5348 messages/s	         8.000 workers	 2524561 B/op	   45102 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-8       	     356	   2036568 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5401 messages/s	         8.000 workers	 2523910 B/op	   45102 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-8       	     349	   2039097 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5395 messages/s	         8.000 workers	 2528957 B/op	   45104 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-10      	     357	   2002611 ns/op	   0.71 MB/s	      1421 input-B/op	        11.00 messages/op	      5493 messages/s	        10.00 workers	 2526451 B/op	   45108 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-10      	     356	   2002639 ns/op	   0.71 MB/s	      1421 input-B/op	        11.00 messages/op	      5493 messages/s	        10.00 workers	 2524025 B/op	   45106 allocs/op
BenchmarkCurrentCorpusPreparedApplicationJSON-10      	     362	   1987162 ns/op	   0.72 MB/s	      1421 input-B/op	        11.00 messages/op	      5536 messages/s	        10.00 workers	 2532780 B/op	   45111 allocs/op
PASS
